Comparison	gene	log2FC
IFNb_UP_DOWN	ETV7	3.6575310441428
IFNb_UP_DOWN	NT5C3A	2.0072419623273
IFNb_UP_DOWN	RP4-725G10.3	2.33568728779703
IFNb_UP_DOWN	CCDC146	1.86731005686217
IFNb_UP_DOWN	FGL2	1.23135844521858
IFNb_UP_DOWN	SAMD9	3.83280865716358
IFNb_UP_DOWN	SAMD9L	2.97847731731798
IFNb_UP_DOWN	ATXN7L1	1.55893058002048
IFNb_UP_DOWN	TMEM140	2.91242116210422
IFNb_UP_DOWN	PTN	2.12900878160257
IFNb_UP_DOWN	PARP12	3.34955177253482
IFNb_UP_DOWN	TMUB1	1.30220067897141
IFNb_UP_DOWN	MID2	1.12303044517717
IFNb_UP_DOWN	LY6E	3.21944248719732
IFNb_UP_DOWN	C8orf31	1.12791959261389
IFNb_UP_DOWN	PARP10	2.90336502073136
IFNb_UP_DOWN	DDX58	4.97727817084222
IFNb_UP_DOWN	GOLM1	1.6685133714937
IFNb_UP_DOWN	TDRD7	1.28574225143897
IFNb_UP_DOWN	TRIM14	4.71254067693179
IFNb_UP_DOWN	RP11-18B16.2	1.49647409913064
IFNb_UP_DOWN	MAMDC4	1.01578713694198
IFNb_UP_DOWN	IFITM2	1.38972220808993
IFNb_UP_DOWN	IFITM1	5.52841489141466
IFNb_UP_DOWN	IFITM3	1.92143761569493
IFNb_UP_DOWN	IRF7	4.40358983594652
IFNb_UP_DOWN	TRIM21	2.2291676678659
IFNb_UP_DOWN	TRIM5	1.81479693146015
IFNb_UP_DOWN	TRIM22	2.10513544441705
IFNb_UP_DOWN	OLFML1	1.99425013887703
IFNb_UP_DOWN	MDK	2.58107768142753
IFNb_UP_DOWN	UBE2L6	2.4683152571386
IFNb_UP_DOWN	SERPING1	1.17735559574733
IFNb_UP_DOWN	SLC15A3	3.60761399973111
IFNb_UP_DOWN	RARRES3	2.50714003135955
IFNb_UP_DOWN	BATF2	6.35371991603845
IFNb_UP_DOWN	UNC93B1	2.20639554678824
IFNb_UP_DOWN	IL18BP	4.87811868880667
IFNb_UP_DOWN	RP11-700A24.1	1.03158933232126
IFNb_UP_DOWN	CASP1	1.89055650727351
IFNb_UP_DOWN	MIR125B1	1.04513817903928
IFNb_UP_DOWN	LINC00702	1.01958160830304
IFNb_UP_DOWN	NSUN6	1.14909599380795
IFNb_UP_DOWN	MASTL	1.16995147795751
IFNb_UP_DOWN	DLG5	1.04613122239715
IFNb_UP_DOWN	LIPA	1.19360649792871
IFNb_UP_DOWN	IFIT2	6.58246297687444
IFNb_UP_DOWN	IFIT3	6.30816362596262
IFNb_UP_DOWN	IFIT1	7.21855845696839
IFNb_UP_DOWN	IFIT5	1.60663703468111
IFNb_UP_DOWN	SLC25A28	1.09081857139962
IFNb_UP_DOWN	ACSL5	1.9029117179847
IFNb_UP_DOWN	TAPBPL	1.14006693093816
IFNb_UP_DOWN	C1RL-AS1	1.0847388105401
IFNb_UP_DOWN	KRT81	2.18042938076275
IFNb_UP_DOWN	STAT2	2.17468596056347
IFNb_UP_DOWN	RP11-631N16.4	1.11843241970797
IFNb_UP_DOWN	OAS1	7.55844402612335
IFNb_UP_DOWN	OAS3	5.90932175005678
IFNb_UP_DOWN	OAS2	6.3631129308846
IFNb_UP_DOWN	WDR66	1.11415506146495
IFNb_UP_DOWN	EPSTI1	3.76800284689039
IFNb_UP_DOWN	LPAR6	1.11180535128507
IFNb_UP_DOWN	PHF11	1.57313543562099
IFNb_UP_DOWN	TNFSF13B	4.97610095269848
IFNb_UP_DOWN	PSME1	1.14807467076882
IFNb_UP_DOWN	PSME2	1.36177997877498
IFNb_UP_DOWN	CHMP4A	1.08438409036361
IFNb_UP_DOWN	GCH1	1.64245366353797
IFNb_UP_DOWN	TMEM229B	1.5561251094343
IFNb_UP_DOWN	IFI27	8.39515200089809
IFNb_UP_DOWN	ACTC1	2.23199266823385
IFNb_UP_DOWN	GANC	1.43916456790077
IFNb_UP_DOWN	B2M	2.12227528967479
IFNb_UP_DOWN	TRIM69	2.45897110787071
IFNb_UP_DOWN	CYP19A1	1.03500339386892
IFNb_UP_DOWN	PML	1.33855132987139
IFNb_UP_DOWN	ISG20	3.3992369438559
IFNb_UP_DOWN	NLRC5	1.70917054867528
IFNb_UP_DOWN	MLKL	1.62023355204657
IFNb_UP_DOWN	CXCL16	1.31335407920476
IFNb_UP_DOWN	COX10-AS1	1.28815421072748
IFNb_UP_DOWN	LGALS9	6.4093895883561
IFNb_UP_DOWN	CCL8	4.33505083564095
IFNb_UP_DOWN	CCL13	2.52197626641009
IFNb_UP_DOWN	SLFN12	1.16185121727949
IFNb_UP_DOWN	CCL5	2.18260979901928
